epoch,accuracy,loss,val_accuracy,val_loss
0,0.3399553596973419,2.091646909713745,0.16755951941013336,4.012759685516357
1,0.6627976298332214,0.9917389154434204,0.6074404716491699,1.1533384323120117
2,0.7895089387893677,0.6441210508346558,0.8258928656578064,0.5196219086647034
3,0.8524553775787354,0.4658966660499573,0.819940447807312,0.5750592350959778
4,0.8749256134033203,0.39820119738578796,0.8839285969734192,0.3700782358646393
5,0.8970982432365417,0.32792899012565613,0.9110119342803955,0.2968781292438507
6,0.913690447807312,0.2849194407463074,0.8877975940704346,0.3281334340572357
7,0.9225446581840515,0.26681914925575256,0.9077380895614624,0.30611878633499146
8,0.9260416626930237,0.24861900508403778,0.930059552192688,0.23005272448062897
9,0.9364583492279053,0.21965491771697998,0.9235119223594666,0.27179476618766785
10,0.9368303418159485,0.21762233972549438,0.9291666746139526,0.2549516558647156
11,0.9422619342803955,0.19537056982517242,0.9476190209388733,0.18486769497394562
12,0.9436011910438538,0.1992034912109375,0.9464285969734192,0.20065341889858246
13,0.9488095045089722,0.17671404778957367,0.9375,0.22219379246234894
14,0.9498512148857117,0.17105723917484283,0.9404761791229248,0.2186170071363449
15,0.9523809552192688,0.16366450488567352,0.9309523701667786,0.24801023304462433
16,0.9523809552192688,0.15999650955200195,0.8666666746139526,0.44698870182037354
17,0.9563243985176086,0.1535453051328659,0.9065476059913635,0.3013670742511749
18,0.9600446224212646,0.14313295483589172,0.9592261910438538,0.150381937623024
19,0.9606398940086365,0.13503460586071014,0.9455357193946838,0.2202869951725006
20,0.9625744223594666,0.1364443153142929,0.9630952477455139,0.1363629400730133
21,0.9619791507720947,0.13309934735298157,0.9580357074737549,0.1809108555316925
22,0.9637649059295654,0.13062459230422974,0.9291666746139526,0.23894943296909332
23,0.9645833373069763,0.12462851405143738,0.9351190328598022,0.21611236035823822
24,0.9664434790611267,0.11713229864835739,0.9622023701667786,0.14277370274066925
25,0.9680803418159485,0.11705399304628372,0.9592261910438538,0.15418434143066406
26,0.9695684313774109,0.10276533663272858,0.9627976417541504,0.14509135484695435
27,0.9663690328598022,0.11891975998878479,0.9702380895614624,0.11509478092193604
28,0.9695684313774109,0.11063098162412643,0.9535714387893677,0.1673184484243393
29,0.9717261791229248,0.10031665861606598,0.9583333134651184,0.17385026812553406
30,0.9682291746139526,0.11200027167797089,0.9657738208770752,0.13365702331066132
31,0.9730654954910278,0.09524169564247131,0.9660714268684387,0.1474447101354599
32,0.969717264175415,0.10884222388267517,0.9547619223594666,0.17819447815418243
33,0.9703124761581421,0.10673092305660248,0.968154788017273,0.1274401843547821
34,0.9750000238418579,0.09357618540525436,0.9610118865966797,0.15083830058574677
35,0.9764136672019958,0.0907999649643898,0.968154788017273,0.1322173774242401
36,0.9770089387893677,0.08486218005418777,0.9654762148857117,0.1615024358034134
37,0.9722470045089722,0.10300404578447342,0.9589285850524902,0.17466776072978973
38,0.976190447807312,0.08822085708379745,0.9684523940086365,0.12060002237558365
39,0.9745535850524902,0.08832590281963348,0.9660714268684387,0.14521099627017975
40,0.9795386791229248,0.07610711455345154,0.9675595164299011,0.1358340084552765
41,0.9787202477455139,0.07603784650564194,0.9696428775787354,0.13768620789051056
42,0.9767857193946838,0.08777068555355072,0.9678571224212646,0.1295021027326584
43,0.9764881134033203,0.08630727231502533,0.969345211982727,0.12846218049526215
44,0.9767113327980042,0.08348862081766129,0.969345211982727,0.12539908289909363
45,0.9784970283508301,0.07394661009311676,0.9702380895614624,0.13407191634178162
46,0.9747768044471741,0.0885217934846878,0.963690459728241,0.15890605747699738
47,0.9790922403335571,0.07762543112039566,0.968154788017273,0.14472730457782745
48,0.9796130657196045,0.07370513677597046,0.9717261791229248,0.12332749366760254
49,0.9813244342803955,0.07044466584920883,0.9627976417541504,0.146121084690094
